Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
25.03.2023,(Ден),Холодный ручей,Ондрей/Джун,Ден,Миша,Вадим,против,Савва,Ваня,Гриша,Данил,https://youtu.be/-PfYPLxWuVk
19.03.2023,(Ден),Переход,Сеньор,Миша,Ден,Вадим,против,Гриша,Ваня,Данил,Бот,https://youtu.be/ZrrSt6cgHro
19.03.2023,(Ден),Приход,Данил,Гриша,Ваня,Бот,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/aM-spVjQobY
19.03.2023,(Данил),жертва,Миша,Сеньор,Вадим,Ден,против,Гриша,Ваня,Данил,Савва,https://youtu.be/2Y2W22XO5kU
19.03.2023,(Данил),Приход,Сеньор,Миша,Вадим,Ден,против,Ваня,Гриша,Данил,Бота,https://youtu.be/av6x3Dy4WtM
12.03.2023,(Ден),Похоронный звон,Данил,Гриша,Ваня,Джун,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/a9ietK7YHTo
12.03.2023,(Ден),Кровавая жатва,Данил,Гриша,Ваня,Джун,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/DGOsmKoBMBo
12.03.2023,(Дaн),Похоронный звон,Данил,Гриша,Ваня,Джун,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/Sysq_RNDJ6o
12.03.2023,(Дaн),Кровавая Жатва,Данил,Гриша,Ваня,Джун,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/Sysq_RNDJ6o
11.03.2023,(Данил),Ливень,Ден,Вадим,Сеньор,Савва,против,Гриша,Ваня,Данил,Бот,https://youtu.be/hy-TH3xwNkA
11.03.2023,(Данил),Нет милосердию,Ден,Вадим,Сеньор,Бот,против,Гриша,Ваня,Данил,Савва,https://youtu.be/R63CyAfy-4k
11.03.2023,(Ден),Ливень,Ден,Вадим,Сеньор,Савва,против,Гриша,Ваня,Данил,Бот,https://youtu.be/U-dHEddlkpg
11.03.2023,(Ден),Нет милосердию,Ден,Вадим,Сеньор,Бот,против,Гриша,Ваня,Данил,Савва,https://youtu.be/R7QV9aDdm4Q
