Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
2023-03-12,(Ден),кровавая жатва,Данил,Гриша,Ваня,Джун,против,Ден,Миша,Вадим,Сеньор,https://youtu.be/DGOsmKoBMBo
2023-03-11,(Данил),ливень,Ден,Вадим,Сеньор,Савва,против,Гриша,Ваня,Данил,Бот,https://youtu.be/hy-TH3xwNkA
2023-03-11,(Данил),нет милосердию,Ден,Вадим,Сеньор,Бот,против,Гриша,Ваня,Данил,Савва,https://youtu.be/R63CyAfy-4k
2023-03-10,(Ден),переход,Ден,Миша,Вадим,Бот,против,Данил,Ваня,Гриша,Бот,https://youtu.be/4Z_Ufr28A3A
2023-03-10,(Данил),смерть в воздухе,Ден,Миша,Вадим,Юран,против,Данил,Ваня,Гриша,Савва,https://youtu.be/1D8iSGVFl98
2023-03-05,(Сеньор),жертва,Сеньор,Вадим,Гриша,Бот,против,Данил,Ваня,Ондрей,Бот,https://youtu.be/RwT1qb1E_ws
2023-03-05,(Сеньор),мрачный карнавал,Сеньор,Гриша,Ваня,Бот,против,Данил,Вадим,Ондрей,Бот,https://youtu.be/oQJX-ZJrxkM
2023-03-04,(Сеньор),вымерший центр,Гриша,Данил,Ден,Джун,против,Ваня,Сеньор,Миша,Бот,https://youtu.be/bWMY9Px-fMw
2023-03-04,(Ден),приход,Гриша,Миша,Ден,Бот,против,Данил,Ваня,Сеньор,Джун,https://youtu.be/V5Up80xcCgs
2023-02-26,(Сеньор),последний рубеж,Гриша,Вадим,Сеньор,Бот,против,Данил,Ваня,Ден,Бот,https://youtu.be/rNwJjyfqaWY
2023-02-26,(Данил),ливень,Гриша,Вадим,Ондрей,Ден,против,Данил,Ваня,Сеньор,Бот,https://youtu.be/nqRSgNl84UY
2023-02-25,(Ден),переход,Миша,Вадим,Ден,Джун,против,Сеньор,Данил,Ваня,Гриша,https://youtu.be/9nHyTauBQ7k
2023-02-25,(Ден),нет милосердию,Миша,Вадим,Ден,Джун,против,Сеньор,Данил,Ваня,Гриша,https://youtu.be/W3_3tmXNTBc
2023-02-24,(Сеньор),смерть в воздухе,Миша,Вадим,Ваня,Бот,против,Данил,Сеньор,Ондрей,Гриша,https://youtu.be/b2SE-j1PgFw
2023-02-19,(Данил),жертва,Ден,Вадим,Миша,Юран,против,Гриша,Ваня,Ондрей,Данил,https://youtu.be/ULkD36p14Ro
2023-02-19,(Данил),мрачный карнавал,Ден,Вадим,Миша,Юран,против,Гриша,Ваня,Сеньор,Данил,https://youtu.be/A1tA9H3DErU
2023-02-18,(Ден),похоронный звон,Вадим,Миша,Ден,Джун,против,Ваня,Данил,Ондрей,Гриша,https://youtu.be/jdf3EjUNZhc
2023-02-18,(Гриша),холодный ручей,Сеньор,Ден,Вадим,Миша,против,Гриша,Данил,Ваня,Ондрей,https://youtu.be/EbrFNX5yHzo
2023-02-12,(Ден),приход,Данил,Вадим,Марина,Ден,против,Гриша,Ваня,Миша,Бот,https://youtu.be/n2PkDYBkpWo
2023-02-12,(Ден),нет милосердию,Ондрей,Вадим,Миша,Ден,против,Гриша,Сеньор,Данил,Ваня,https://youtu.be/7mfy1JAyrZs
2023-02-11,(Миша),последний рубеж,Ондрей,Ден,Миша,Бот,против,Вадим,Ваня,Сеньор,Бот,https://youtu.be/nhN271lcU8U
2023-02-11,(Ден),кровавая жатва,Вадим,Миша,Ден,Бот,против,Ондрей,Данил,Сеньор,Ваня,https://youtu.be/NhJx1trvpdI
2023-02-11,(Ден),ливень,Вадим,Миша,Ден,Бот,против,Сеньор,Ваня,Данил,Бот,https://youtu.be/WqnnFqRavaI
2023-02-10,(Гриша),вымерший центр,Сеньор,Ден,Данил,Бот,против,Гриша,Вадим,Ваня,Бот,https://youtu.be/nB_jaHM3zAs
2023-02-10,(Гриша),смерть в воздухе,Сеньор,Вадим,Ваня,Бот,против,Гриша,Ден,Данил,Бот,https://youtu.be/8sDjJzF0qaQ
2023-02-05,(Гриша),холодный ручей,Ден,Миша,Ондрей,Бот,против,Гриша,Сеньор,Джун,Бот,https://youtu.be/4feI5KnS5Aw
2023-02-05,(Гриша),похоронный звон,Ден,Джун,Ондрей,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/4IzLR4dlNek
2023-02-04,(Сеньор),мрачный карнавал,Ден,Джун,Вадим,Марина,против,Миша,Гриша,Сеньор,Ондрей,https://youtu.be/W5WjVNx3wnI
2023-02-04,(Гриша),нет милосердию,Ден,Джун,Вадим,Марина,против,Миша,Гриша,Сеньор,Ондрей,https://youtu.be/1mfAkHTu7yM
2023-02-03,(Сеньор),жертва,Вадим,Миша,Джун,Бот,против,Сеньор,Ваня,Гриша,Бот,https://youtu.be/L8bQJOVWFIE
2023-02-03,(Сеньор),переход,Вадим,Миша,Гриша,Бот,против,Сеньор,Ваня,Джун,Бот,https://youtu.be/KDomcglicFc
2023-01-29,(Ден),приход,Ваня,Ондрей,Миша,Вадим,против,Ден,Данил,Гриша,Бот,https://youtu.be/MUgpoxfjaq8
2023-01-29,(Ден),кровавая жатва,Вадим,Ден,Данил,Бот,против,Ондрей,Миша,Гриша,Ваня,https://youtu.be/VZS6pZoSDCc
2023-01-28,(Гриша),смерть в воздухе,Гриша,Данил,Ваня,Юран,против,Ден,Вадим,Ондрей,Миша,https://youtu.be/8HZdHktKER8
2023-01-28,(Гриша),вымерший центр,Гриша,Ваня,Данил,Джун,против,Ден,Вадим,Ондрей,Миша,https://youtu.be/Uug7T9hHwhk
2023-01-22,(Данил),ливень,Ден,Вадим,Ондрей,Бот,против,Данил,Миша,Ваня,Бот,https://youtu.be/2x37B_tyoFs
2023-01-21,(Данил),приход,Гриша,Сеньор,Ден,Юран,против,Данил,Вадим,Ондрей,Джун,https://youtu.be/rIoVr122EVA
2023-01-15,(Данил),мрачный карнавал,Гриша,Ондрей,Ваня,Данил,против,Ден,Вадим,Миша,Сеньор,https://youtu.be/LojgLxfnD58
2023-01-15,(Сеньор),нет милосердию,Миша,Ондрей,Ваня,Данил,против,Ден,Вадим,Гриша,Сеньор,https://youtu.be/a61qOEO8aJE
2023-01-13,(Ден),роковой полет,Вадим,Джун,Ден,Бот,против,Данил,Гриша,Ваня,Бот,https://youtu.be/ZH4MgLNAc1w
2023-01-08,(Сеньор),последний рубеж,Гриша,Ондрей,Ваня,Данил,против,Ден,Вадим,Миша,Сеньор,https://youtu.be/5opeiBvrFVM
2023-01-08,(Данил),похоронный звон,Гриша,Ондрей,Ваня,Данил,против,Ден,Вадим,Миша,Сеньор,https://youtu.be/bnHak0GSzaI
2023-01-07,(Данил),болотная лихорадка,Гриша,Джун,Ваня,Данил,против,Ден,Вадим,Миша,Сеньор,https://youtu.be/hlqaUiaeRuY
2023-01-07,(Данил),холодный ручей,Джун,Гриша,Данил,Ваня,против,Ден,Вадим,Миша,Сеньор,https://youtu.be/8UxhpRwZ9Oo
2023-01-05,(Сеньор),вымерший центр,Вадим,Ден,Миша,Сеньор,против,Данил,Джун,Юран,Ваня,https://youtu.be/8n-a-plWlNI
2023-01-05,(Данил),нет милосердию,Ден,Вадим,Миша,Сеньор,против,Джун,Данил,Юран,Ваня,https://youtu.be/QCnTmhTNzLI
2023-01-04,(Данил),мрачный карнавал,Данил,Гриша,Ваня,Джун,против,Ондрей/Сеньор,Вадим,Миша,Ден,https://youtu.be/t8dFK5tjmEY
2023-01-04,(Ден),кровавая жатва,Ден,Данил,Ваня,Гриша,против,Миша,Ондрей,Джун,Вадим,https://youtu.be/Z0skxz787q4=
2023-01-01,(Ден),приход,Ваня,Сеньор,Миша,Ден,против,Данил,Ондрей,Джун,Гриша,https://youtu.be/yOTJLJ8KIHs
2023-01-01,(Ден),жертва,Сеньор,Джун,Ден,Вадим,против,Миша,Гриша,Ваня,Данил,https://youtu.be/f57tr8ZYqQ8
2023-01-01,(Ден),переход,Данил,Ондрей,Гриша,Ден,против,Сеньор,Миша,Ваня,Джун,https://youtu.be/rjRXrP0A4GU
